sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[kawaii@472];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99995;0,99995;0,00005;0,00005;0,99995;[AgentBuyogMain@473];[0.9999506487174983];[0.9999506487174983];[0.9999506487174983];[0.0];[0.9999506487174983];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[XianFaAgent@474];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Groupn@475];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHP@476];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Group2@477];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99698;0,99698;0,00302;0,00302;0,99698;[PokerFace@478];[0.9969784764777416];[0.9969784764777416];[0.9969784764777416];[0.0];[0.9969784764777416];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TUDMixedStrategyAgent@479];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MeanBot@480];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[PNegotiator@481];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
