Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,003;2;;60rounds;Yes;No;1;0,9986;0,9986;0,0014;0,0014;0,9986;[AgentM@107];[0.9986012231269568];[0.9986012231269568];[0.0];[0.0];[0.9986012231269568];[Jobs_util2.xml]
0,004;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentQuest@108];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,565;2;;60rounds;Yes;No;1;0,34;0,34;0,66;0,66;0,34;[AgentTD@109];[0.3399989399209493];[0.3399989399209493];[0.0];[0.0];[0.3399989399209493];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,32126;0,32126;0,67874;0,67874;0,32126;[AgentTRP@110];[0.32125752190634616];[0.32125752190634616];[0.0];[0.0];[0.32125752190634616];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,18302;0,18302;0,81698;0,81698;0,18302;[WhaleAgent@111];[0.18302249122018246];[0.18302249122018246];[0.0];[0.0];[0.18302249122018246];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,83995;0,83995;0,16005;0,16005;0,83995;[AgentYK@112];[0.839952676494473];[0.839952676494473];[0.0];[0.0];[0.839952676494473];[Jobs_util2.xml]
;2;Session genius.core.session.Session@3f26b130 failed: Failed to execute protocol: Execution failed of ArisawaYaki@113:java.lang.NullPointerException: bid can not be null: bid can not be null:[agents.anac.y2014.ArisawaYaki.ArisawaYaki];60rounds;No;;0;;;;;;[ArisawaYaki];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Aster@114];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
;2;Session genius.core.session.Session@42966ab2 failed: Failed to execute protocol: Execution failed of Atlas@115:java.lang.NullPointerException: null:[agents.anac.y2014.Atlas.Atlas];60rounds;No;;0;;;;;;[Atlas];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BraveCat@116];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[DoNA@117];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
;2;Session genius.core.session.Session@7f0a1834 failed: Failed to execute protocol: Execution failed of AnacSampleAgent@118:java.lang.NullPointerException: null:[agents.anac.y2014.E2Agent.AnacSampleAgent];60rounds;No;;0;;;;;;[AnacSampleAgent];[0.0];[0.0];;;;[Jobs_util2]
0,012;2;;60rounds;Yes;No;1;1;1;0;0;1;[Flinch@119];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,81859;0,81859;0,18141;0,18141;0,81859;[Gangster@120];[0.8185897062663288];[0.8185897062663288];[0.0];[0.0];[0.8185897062663288];[Jobs_util2.xml]
;2;Session genius.core.session.Session@45d6b7e failed: Failed to execute protocol: Execution failed of KGAgent@121:java.lang.ClassCastException: genius.core.issue.IssueDiscrete cannot be cast to genius.core.issue.IssueInteger: genius.core.issue.IssueDiscrete cannot be cast to genius.core.issue.IssueInteger:[agents.anac.y2014.KGAgent.KGAgent];60rounds;No;;0;;;;;;[KGAgent];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;0,999;0,999;0,001;0,001;0,999;[Simpatico@122];[0.999001194435674];[0.999001194435674];[0.0];[0.0];[0.999001194435674];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,52041;0,52041;0,47959;0,47959;0,52041;[Sobut@123];[0.5204089702734103];[0.5204089702734103];[0.0];[0.0];[0.5204089702734103];[Jobs_util2.xml]
;2;Session genius.core.session.Session@e78f5f4 failed: Failed to execute protocol: Execution failed of Group2Agent@124:java.lang.NullPointerException: bid can not be null: bid can not be null:[agents.anac.y2014.TUDelftGroup2.Group2Agent];60rounds;No;;0;;;;;;[Group2Agent];[0.0];[0.0];;;;[Jobs_util2]
0,003;2;;60rounds;Yes;No;1;0,99693;0,99693;0,00307;0,00307;0,99693;[SimilarityAgent@125];[0.9969276673783555];[0.9969276673783555];[0.0];[0.0];[0.9969276673783555];[Jobs_util2.xml]
;2;Session genius.core.session.Session@50aea116 failed: Failed to execute protocol: null:[agents.FuzzyAgent];60rounds;No;;0;;;;;;[FuzzyAgent];[0.0];[0.0];;;;[Jobs_util2]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TimeDependentAgentBoulware@127];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,84045;0,84045;0,15955;0,15955;0,84045;[TimeDependentAgentConceder@128];[0.8404528081850782];[0.8404528081850782];[0.0];[0.0];[0.8404528081850782];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TimeDependentAgentHardliner@129];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,99593;0,99593;0,00407;0,00407;0,99593;[TimeDependentAgentLinear@130];[0.9959288618140297];[0.9959288618140297];[0.0];[0.0];[0.9959288618140297];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[ImmediateAcceptor@131];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
;2;Session genius.core.session.Session@76d9a3af failed: Failed to execute protocol: There is no evaluator for issue 2:[agents.OptimalBidderSimple];60rounds;No;;0;;;;;;[OptimalBidderSimple];[0.0];[0.0];;;;[Jobs_util2]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[FunctionalAcceptor@133];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BayesianAgent@134];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99945;0,99945;0,00055;0,00055;0,99945;[ABMPAgent2@135];[0.9994505170268931];[0.9994505170268931];[0.0];[0.0];[0.9994505170268931];[Jobs_util2.xml]
